commit	apply_p99_ns	apply_throughput	e2e_p50_ns	e2e_p99_ns	memory_kb	status	description
eabe345	4131	22622	585614	1015267	0	keep	re-baseline champion: apply_p99 median-of-7=4131ns (MINIMIZE; samples 3890-9400, clean cluster 3890-4150 + 2 sched outliers); apply_throughput median=22622/s; gate e2e_p50=585614ns e2e_p99=1015267ns PASS; torture + Gate A (80 persistence tests) green. Establishes smr-apply p50 gate baseline
ec8811a	3870	22348	603553	1111878	0	keep	alloc-free gc_inner (drop per-commit Vec+BTreeSet; cutoff=nth_back(retain-1) on sorted snapshot keys, retain v>=cutoff||strong_count>1; early-return len<=retain): apply_p99 median-of-7=3870ns vs champ 4131 (-6.3%; clean cluster 3780-3880 entirely below champ 3890-4150); throughput 22348 (flat); gate e2e_p50=603553 vs 585614 (+3.06%, flat) PASS; 535 tests+GC/MVCC+torture green; removes per-apply allocation
ec8811a	3890	23163	0	0	0	discard	shrink commit_single_writer write-lock critical section (build new Snapshot lock-free from self.base.tables, hold inner.write() only for install+gc; SAFE per SingleWriter invariant): apply_p99 median-of-7=3890ns vs champ 3870 (WASH, +0.5%; clean clusters identical 3780-3920 vs 3780-3880); throughput 23163 vs 22348 (+2.4%, within noise, secondary); 535 tests+MVCC+concurrency+persistence-fsync green. DISCARD: apply_p99 is NOT write-lock-contention-bound -- tail is scheduling-dominated, median is btree-CoW/alloc bound; critical-section shrink doesn't reduce per-apply CPU work
ec8811a	4029	22873	0	0	0	discard	single-traversal Table::update via new pub(crate) BTree::replace_arc (replace-only, no split, returns old in one CoW walk; eliminates the separate get_arc read traversal): apply_p99 median-of-7=4029ns vs champ 3870 (WASH/slightly worse +4%, within noise; clean 3629-4029); throughput 22873 (+2.3%, noise); full suite incl btree/index/MVCC/SSI green. DISCARD: the eliminated read traversal is cheap (no alloc); apply_p99 is dominated by the CoW WRITE traversal (allocs/memcpy/Arc-bumps), unchanged here. Net-adds code (replace_arc+replace_in_node)
a4af298	13118	27605	0	0	0	keep	re-baseline champion on 2026-07-17 host state: T=64 control apply_p99 median-of-5=13118ns (samples 11205-14290; host ~3.4x slower than eabe345-era rows, absolute TSV history not comparable across days); apply_throughput median=27605; e2e 0: Gate B structurally unavailable (uc_autobench no longer in ultima_cluster workspace, cluster rewritten to uc2_*) — gating = torture + Gate A only until restored
f621051	8712	33815	0	0	0	keep	btree fanout T=64->32 (clone-every-commit SMR regime never gets make_mut in-place; smaller nodes cut per-clone memcpy+Arc-bumps): apply_p99 median 8712ns vs same-day T=64 control 13118 (-33.6
8a386dd	5568	27173	0	0	0	keep	btree fanout T=32->16 (gradient continuation): apply_p99 median-of-6=5568ns vs champ 8712 (-36%; cluster 4546-7650 + one 44942 host-noise outlier absorbed by median); apply_throughput median 27173 (flat-to-down vs 33815, secondary); read_p99_under_load ~1770 (-25%); torture + Gate A green on re-gate — first attempt tripped concurrent_same_table_overlapping_keys_with_retry conflict canary (0 conflicts observed: faster commits shrink race window; 10/10 green isolated => scheduling flake, joins mock_wal in known-flaky set); Gate B still unavailable
498739d	4706	28344	0	0	0	keep	btree fanout T=16->8 (gradient continuation): apply_p99 median-of-9=4706ns vs champ 5568 (-15.5%; cluster 3785-5397, 6/9 samples below T=16 cluster min 4546); apply_throughput 28344 (>=27605 baseline guard OK); checkpoint/stream flat; torture + Gate A green first try; Gate B still unavailable
e7ca1b1	3976	28737	0	0	0	discard	btree fanout T=8->4 probe: apply_p99 median-of-5=3976 vs champ 4706 (nominal -15% but wide scatter 3435-6299, 2/5 above champ median). DISCARD on correctness: extend_from_sorted fuzz tests fail deterministically at T=4 with underfull non-root nodes (0/2 < MIN_KEYS at btree.rs:2369) — BulkBuilder/extend_from_sorted has a small-T edge case; latent-bug lead worth a standalone look (passes at T>=8). Gradient floor = T=8
b3c0186	3104	37443	0	0	0	keep	inline fixed-capacity node storage (safe FixedVec: [Option<E>;N]+len, no unsafe, no new deps; node clone = 1 Arc alloc + memcpy vs 3 allocs): apply_p99 median-of-9=3104ns vs champ 4706 (-34%; tight cluster 2993-3464, variance collapse consistent with removed allocator jitter); apply_throughput 37443 (+32%); read_p99_under_load ~1582 (improved); torture + Gate A + ultima-vector green first try; Gate B still unavailable
